iter	Logloss
0	0.6786714831
1	0.6659503421
2	0.6534034053
3	0.6416189012
4	0.6316747825
5	0.6201241473
6	0.6093741515
7	0.6017469278
8	0.5946010465
9	0.5866816145
10	0.5776149171
11	0.5691454322
12	0.5637346163
13	0.5560752479
14	0.5493928763
15	0.5422423032
16	0.5349863302
17	0.5287395553
18	0.5227372741
19	0.5164788834
20	0.5106277228
21	0.5042038793
22	0.499182038
23	0.4944579007
24	0.4898042847
25	0.4866088889
26	0.4817817363
27	0.4781825098
28	0.4733320354
29	0.4696571674
30	0.466466211
31	0.4623650412
32	0.4587624948
33	0.4550900986
34	0.4516460266
35	0.4488700348
36	0.4456610338
37	0.4438197234
38	0.4419417143
39	0.4390501949
40	0.4362939228
41	0.4336449088
42	0.4317188512
43	0.4292542716
44	0.4270194861
45	0.4246265406
46	0.4227413822
47	0.4216282198
48	0.4200976898
49	0.4178314631
50	0.4158560228
51	0.4138628243
52	0.4118144402
53	0.410010723
54	0.4086097305
55	0.4072292007
56	0.4054036045
57	0.4040353244
58	0.4025202234
59	0.4012027264
60	0.400087138
61	0.399614082
62	0.3982345175
63	0.3967755145
64	0.3961980279
65	0.3958067446
66	0.3945181684
67	0.3941618
68	0.3929160679
69	0.391928559
70	0.390716919
71	0.3895579321
72	0.3885256462
73	0.3874854736
74	0.3865984702
75	0.3861589646
76	0.3854623496
77	0.3843598543
78	0.3834760062
79	0.3829437045
80	0.3821343793
81	0.3811538747
82	0.3809158008
83	0.3800359946
84	0.379882732
85	0.379394598
86	0.3785408301
87	0.3778986659
88	0.3774105996
89	0.3766840171
90	0.3762128706
91	0.3756372866
92	0.3749024039
93	0.3745658643
94	0.3743008086
95	0.3739319427
96	0.3731389479
97	0.3725423708
98	0.3721756319
99	0.3714453502
100	0.370860355
101	0.3703770273
102	0.3701378397
103	0.3700305005
104	0.3694928909
105	0.3692771088
106	0.3687042972
107	0.3681361839
108	0.3674507755
109	0.3668809203
110	0.3663503055
111	0.365981843
112	0.3653774536
113	0.3649263221
114	0.3643246702
115	0.3637374805
116	0.3632134488
117	0.3626855535
118	0.3621841583
119	0.3618350797
120	0.3613194139
121	0.3608858867
122	0.3604072763
123	0.3602490192
124	0.3596104674
125	0.359389668
126	0.3592095749
127	0.3588009766
128	0.3582339049
129	0.3576523897
130	0.3571752837
131	0.3568887972
132	0.3565763668
133	0.3561977743
134	0.3557602516
135	0.3554583885
136	0.3550030178
137	0.3547122856
138	0.3543403826
139	0.3539423131
140	0.3535853173
141	0.3532070025
142	0.3527622725
143	0.3524904825
144	0.3521861877
145	0.3519129463
146	0.3514909381
147	0.3512883999
148	0.3510455487
149	0.3508136507
150	0.350697674
151	0.3503227084
152	0.3501153253
153	0.3497721348
154	0.3496356096
155	0.3494174629
156	0.3489836962
157	0.3486736021
158	0.348402921
159	0.3480961727
160	0.3478139495
161	0.3474074579
162	0.3470284591
163	0.3466356033
164	0.346418048
165	0.3462327989
166	0.3460497268
167	0.3457977601
168	0.3457006679
169	0.3454978006
170	0.345270055
171	0.3452210244
172	0.344948555
173	0.3448931777
174	0.3447843818
175	0.3445196004
176	0.3442175936
177	0.3441079826
178	0.344022826
179	0.3437686848
180	0.3434416477
181	0.3431543061
182	0.3429182404
183	0.3427245895
184	0.342494883
185	0.3422543755
186	0.3420338487
187	0.3416794297
188	0.3415544451
189	0.3413547237
190	0.3412162154
191	0.340957103
192	0.3407895441
193	0.34055338
194	0.3404648647
195	0.3403493549
196	0.3402214318
197	0.3401678324
198	0.3400097569
199	0.3398925835
200	0.3397521611
201	0.3395280532
202	0.3392920978
203	0.3390113501
204	0.3389028125
205	0.338678204
206	0.3384124902
207	0.3383267454
208	0.3383068263
209	0.3380508892
210	0.3379210601
211	0.3376810805
212	0.337674654
213	0.3376311031
214	0.3371950356
215	0.3367804998
216	0.3367638238
217	0.3365639054
218	0.3362885297
219	0.3361238173
220	0.3359679164
221	0.3357597853
222	0.3355691553
223	0.3354876912
224	0.3354417536
225	0.3351569866
226	0.3350693999
227	0.3349759028
228	0.3347637808
229	0.3346593483
230	0.3345458554
231	0.3343443332
232	0.3340899195
233	0.3338940458
234	0.3337729139
235	0.3336847471
236	0.3335089995
237	0.3332720661
238	0.3331309081
239	0.3329376965
240	0.3327752663
241	0.332679674
242	0.3326419901
243	0.3324877204
244	0.3322136347
